2024-12-07 03:09:30,572 - INFO - Logging setup complete. Logs will be saved to 'app.log' and displayed on the console.
2024-12-07 03:09:36,665 - INFO - Container 1fd2ef3aa7c2 restarted successfully on port 32783
2024-12-07 03:09:41,148 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:13:32,837 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:13:36,009 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:13:38,593 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:13:41,296 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:13:44,059 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:13:46,622 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:13:49,242 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:13:51,787 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:14:11,542 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:14:14,560 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:14:17,593 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:14:20,721 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:14:23,597 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:14:26,836 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:14:29,439 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:14:32,211 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:18:32,093 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:18:35,145 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:18:37,625 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:18:40,145 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:18:42,771 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:18:45,448 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:18:47,927 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:18:50,481 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:13,894 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:16,592 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:19,145 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:21,871 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:24,680 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:27,180 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:29,659 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:32,205 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:34,639 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:37,490 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:40,455 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:43,054 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:46,031 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:48,637 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:51,414 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:19:54,622 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:05,813 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:08,442 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:11,025 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:14,157 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:17,810 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:21,451 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:24,988 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:28,565 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:35,104 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:37,906 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:40,635 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:43,434 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:46,332 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:50,195 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:54,144 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:20:57,687 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:21:05,105 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:21:08,200 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:21:11,253 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:21:14,104 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:21:16,696 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:21:19,628 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:21:22,844 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:21:25,961 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:22:55,655 - ERROR - Error fetching logs: unexpected char '?' at 2553
2024-12-07 03:24:12,597 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:24:15,548 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:24:18,250 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:24:20,747 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:24:23,207 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:24:25,666 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
2024-12-07 03:24:28,155 - INFO - Running Ansible playbook on hosts: {'container_1fd2ef3aa7c2': {'ansible_host': 'localhost', 'ansible_port': '32783', 'ansible_user': 'root', 'ansible_ssh_private_key_file': '/root/.ssh/docker_container_key', 'ansible_ssh_extra_args': '-o StrictHostKeyChecking=no'}}
